Spratly Islands,247
Sovereign Military Order of Malta,246
Monaco,260
Agalega & St. Brandon Islands,4
Mauritius,165
Rodrigues Island,207
Equatorial Guinea,49
Annobon Islands,195
Fiji,176
Conway Reef,489
Rotuma Island,460
Kingdom of Eswatini,468
Tunisia,474
Vietnam,293
Guinea,107
Bouvet Island,24
Peter 1 Island,199
Azerbaijan,18
Georgia,75
Montenegro,514
Sri Lanka,315
ITU HQ,117
United Nations HQ,289
Timor-Leste,511
Israel,336
Libya,436
Cyprus,215
Tanzania,470
Nigeria,450
Madagascar,438
Mauritania,444
Niger,187
Togo,483
Samoa,190
Uganda,286
Kenya,430
Senegal,456
Jamaica,82
Yemen,492
Lesotho,432
Malawi,440
Algeria,400
Barbados,62
Maldives,159
Guyana,129
Croatia,497
Ghana,424
Malta,257
Zambia,482
Kuwait,348
Sierra Leone,458
West Malaysia,299
East Malaysia,46
Nepal,369
Democratic Republic of the Congo,414
Burundi,404
Singapore,381
Rwanda,454
Trinidad & Tobago,90
Botswana,402
Tonga,160
Oman,370
Bhutan,306
United Arab Emirates,391
Qatar,376
Bahrain,304
Pakistan,372
China,318
Scarborough Reef,506
Taiwan,386
Pratas Island,505
Nauru,157
Andorra,203
The Gambia,422
Bahamas,60
Mozambique,181
Chile,112
Easter Island,47
Juan Fernandez Islands,125
San Felix & San Ambrosio,217
Antarctica,13
Cuba,70
Morocco,446
Bolivia,104
Portugal,272
Madeira Island,256
Azores,149
Uruguay,144
Sable Island,211
St. Paul Island,252
Angola,401
Cape Verde,409
Comoros,411
Germany,230
Philippines,375
Eritrea,51
Palestine,510
North Cook Islands,191
South Cook Islands,234
Niue,188
Bosnia-Herzegovina,501
Spain,281
Balearic Islands,21
Canary Islands,29
Ceuta & Melilla,32
Ireland,245
Armenia,14
Liberia,434
Iran,330
Moldova,179
Estonia,52
Ethiopia,53
Belarus,27
Kyrgyzstan,135
Tajikistan,262
Turkmenistan,280
France,227
Guadeloupe,79
Mayotte,169
Saint Barthelemy,516
New Caledonia,162
Chesterfield Islands,512
Martinique,84
Austral Islands,508
Clipperton Island,36
French Polynesia,175
Marquesas Islands,509
St. Pierre & Miquelon,277
Reunion Island,453
Glorioso Island,99
Juan de Nova, Europa,124
Tromelin Island,276
Saint Martin,213
Crozet Island,41
Kerguelen Island,131
Amsterdam & St. Paul Islands,10
Wallis & Futuna Islands,298
French Guiana,63
England,223
Isle of Man,114
Northern Ireland,265
Jersey,122
Scotland,279
Guernsey,106
Wales,294
Solomon Islands,185
Temotu Province,507
Hungary,239
Switzerland,287
Liechtenstein,251
Ecuador,120
Galapagos Islands,71
Haiti,78
Dominican Republic,72
Colombia,116
Malpelo Island,161
San Andres & Providencia,216
Republic of Korea,137
Panama,88
Honduras,80
Thailand,387
Vatican,295
Saudi Arabia,378
Italy,248
Sardinia,225
Djibouti,382
Grenada,77
Guinea-Bissau,109
St. Lucia,97
Dominica,95
St. Vincent,98
Japan,339
Minami Torishima,177
Ogasawara,192
Mongolia,363
Svalbard,259
Jan Mayen,118
Jordan,342
United States,291
Guantanamo Bay,105
Mariana Islands,166
Baker & Howland Islands,20
Guam,103
Johnston Island,123
Midway Island,174
Palmyra & Jarvis Islands,197
Hawaii,110
Kure Island,138
American Samoa,9
Swains Island,515
Wake Island,297
Alaska,6
Navassa Island,182
Virgin Islands,285
Puerto Rico,202
Desecheo Island                      ,43
Norway,266
Argentina,100
Luxembourg,254
Lithuania,146
Bulgaria,212
Peru,136
Lebanon,354
Austria,206
Finland,224
Aland Islands,5
Market Reef,167
Czech Republic,503
Slovak Republic,504
Belgium,209
Denmark,221
Greenland,237
Faroe Islands,222
Papua New Guinea,163
Aruba,91
Rep. of Korea,344
Netherlands,263
Curacao,517
Bonaire,520
Saba & St. Eustatius,519
Sint Maarten,518
Brazil,108
Fernando de Noronha,56
St. Peter & St. Paul Rocks,253
Trindade & Martim Vaz Islands,273
Suriname,140
Franz Josef Land,61
Western Sahara,302
Bangladesh,305
Slovenia,499
Seychelles,379
Sao Tome & Principe,219
Sweden,284
Poland,269
Sudan,466
Egypt,478
Greece,236
Mount Athos,180
Dodecanese,45
Crete,40
Tuvalu,282
W. Kiribati (Gilbert Islands ),301
C. Kiribati (British Phoenix Islands),31
E. Kiribati (Line Islands),48
Banaba Island (Ocean Island),490
Somalia,232
San Marino,278
Palau,22
Turkey,390
Iceland,242
Guatemala,76
Costa Rica,308
Cocos Island,37
Cameroon,406
Corsica,214
Central Africa,408
Republic of the Congo,412
Gabon,420
Chad,410
Cote d'Ivoire,428
Benin,416
Mali,442
European Russia,54
Kaliningrad,126
Asiatic Russia,15
Uzbekistan,292
Kazakhstan,130
Ukraine,288
Antigua & Barbuda,94
Belize,66
St. Kitts & Nevis,249
Namibia,464
Micronesia,173
Marshall Islands,168
Brunei Darussalam,345
Canada,1
Australia,150
Heard Island,111
Macquarie Island,153
Cocos (Keeling) Islands,38
Lord Howe Island,147
Mellish Reef,171
Norfolk Island,189
Willis Island,303
Christmas Island,35
Anguilla,12
Montserrat,96
British Virgin Islands,65
Turks & Caicos Islands,89
Pitcairn Island,172
Ducie Island,513
Falkland Islands                     ,141
South Georgia Island,235
South Orkney Islands,238
South Sandwich Islands,240
South Shetland Islands,241
Bermuda,64
Chagos Islands,33
Hong Kong,321
India,324
Andaman & Nicobar Islands,11
Lakshadweep Islands,142
Mexico,50
Revillagigedo,204
Burkina Faso,480
Cambodia,312
Laos,143
Macao,152
Myanmar,309
Afghanistan,3
Indonesia,327
Iraq,333
Vanuatu,158
Syria,384
Latvia,145
Nicaragua,86
Romania,275
El Salvador,74
Serbia,296
Venezuela,148
Aves Island,17
Zimbabwe,452
North Macedonia (Republic of),502
Republic of Kosovo,522
South Sudan (Republic of),521
Albania,7
Gibraltar,233
UK Sovereign Base Areas on Cyprus,283
St. Helena,250
Ascension Island,205
Tristan da Cunha & Gough Island,274
Cayman Islands,69
Tokelau Islands,270
New Zealand,170
Chatham Islands,34
Kermadec Islands,133
New Zealand Subantarctic Islands,16
Paraguay,132
South Africa,462
